unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,closest_unix_ms,Theta_AF7,Theta_AF8,Alpha_AF7,Alpha_AF8,Beta_AF7,Beta_AF8,Gamma_AF7,Gamma_AF8,Rel_Theta_AF7,Rel_Theta_AF8,Rel_Alpha_AF7,Rel_Alpha_AF8,Rel_Beta_AF7,Rel_Beta_AF8,Rel_Gamma_AF7,Rel_Gamma_AF8
1742939649251,312.0995,10963.0,,Left,993.4822,744.2991,46.60524,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649251,312.0995,10963.0,,Right,992.4216,744.2991,46.60524,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649251,312.0995,10963.0,,Center,992.9519,744.2991,46.60524,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649270,312.1221,10964.0,,Center,1056.523,744.6555,45.14404,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649270,312.1221,10964.0,,Right,1055.975,744.6555,45.14404,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649270,312.1221,10964.0,,Left,1057.07,744.6555,45.14404,,1742939649242,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649293,312.1407,10965.0,,Left,1051.574,744.5134,45.276,,1742939649293,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649293,312.1407,10965.0,,Right,1050.482,744.5134,45.27601,,1742939649293,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649293,312.1407,10965.0,,Center,1051.028,744.5134,45.276,,1742939649293,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649312,312.1642,10966.0,,Left,1054.597,748.4752,45.21653,,1742939649297,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649312,312.1642,10966.0,,Right,1053.504,748.4752,45.21654,,1742939649297,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649312,312.1642,10966.0,,Center,1054.05,748.4752,45.21653,,1742939649297,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649328,312.182,10967.0,,Left,1052.487,748.1148,45.26634,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649328,312.182,10967.0,,Right,1051.395,748.1148,45.26634,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649328,312.182,10967.0,,Center,1051.941,748.1148,45.26634,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649360,312.2149,10969.0,,Center,1052.653,747.0111,45.24585,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649360,312.2149,10969.0,,Right,1052.106,747.0111,45.24585,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649360,312.2149,10969.0,,Left,1053.199,747.0111,45.24585,,1742939649327,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649378,312.2319,10970.0,,Center,1046.413,738.7798,45.36637,,1742939649377,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649378,312.2319,10970.0,,Left,1046.958,738.7798,45.36637,,1742939649377,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649378,312.2319,10970.0,,Right,1045.868,738.7798,45.36637,,1742939649377,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649409,312.2633,10972.0,,Left,1054.735,738.8521,45.18063,,1742939649409,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649409,312.2633,10972.0,,Right,1053.641,738.8521,45.18063,,1742939649409,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649409,312.2633,10972.0,,Center,1054.188,738.8521,45.18063,,1742939649409,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649440,312.2945,10974.0,,Left,1062.269,743.6346,45.01583,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649440,312.2945,10974.0,,Right,1061.171,743.6346,45.01583,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649440,312.2945,10974.0,,Center,1061.72,743.6346,45.01583,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649455,312.3112,10975.0,,Left,1067.15,743.822,44.8977,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649455,312.3112,10975.0,,Right,1066.049,743.822,44.8977,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649455,312.3112,10975.0,,Center,1066.6,743.822,44.8977,,1742939649411,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649486,312.3414,10977.0,,Center,1073.76,743.7827,44.72171,,1742939649486,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649486,312.3414,10977.0,,Right,1073.207,743.7827,44.72171,,1742939649486,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649486,312.3414,10977.0,,Left,1074.312,743.7827,44.72172,,1742939649486,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649518,312.3735,10979.0,,Left,1097.054,743.9122,44.15366,,1742939649518,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649518,312.3735,10979.0,,Right,1095.934,743.9122,44.15366,,1742939649518,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649518,312.3735,10979.0,,Center,1096.494,743.9122,44.15366,,1742939649518,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649549,312.4052,10981.0,,Left,1124.561,748.0049,43.4615,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649549,312.4052,10981.0,,Right,1123.423,748.0049,43.4615,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649549,312.4052,10981.0,,Center,1123.992,748.0049,43.4615,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649563,312.4246,10982.0,,Left,1147.468,749.6076,42.86844,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649563,312.4246,10982.0,,Right,1146.315,749.6076,42.86845,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649563,312.4246,10982.0,,Center,1146.891,749.6076,42.86845,,1742939649521,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649601,312.4617,10984.0,,Center,1217.032,754.0999,41.01335,,1742939649577,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649601,312.4617,10984.0,,Right,1216.429,754.0999,41.01335,,1742939649577,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649601,312.4617,10984.0,,Left,1217.634,754.0999,41.01335,,1742939649577,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649629,312.4893,10985.0,,Center,1267.807,757.6329,39.66049,,1742939649629,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649629,312.4893,10985.0,,Left,1268.43,757.6329,39.66049,,1742939649629,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649629,312.4893,10985.0,,Right,1267.183,757.6329,39.6605,,1742939649629,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649664,312.5182,10986.0,Eye Hit,Left,1362.116,745.6528,37.17776,NorthSidewalk,1742939649664,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649664,312.5182,10986.0,Eye Hit,Right,1360.787,745.6528,37.17776,NorthSidewalk,1742939649664,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
1742939649664,312.5182,10986.0,Eye Hit,Center,1361.452,745.6528,37.17776,NorthSidewalk,1742939649664,1.9059841970542624,1.7308475160327998,1.8058560138003263,2.365522537424465,1.2570983267093216,1.1600071353137498,0.37869898567459176,0.30920340090715637,3,3,3,4,2,2,0,0
